id,mem:c0,mem:c3,mem:c5,mem:c20,mem:c22,mem:c23,mem:c24,mem:c25,mem:c26,mem:c27,mem:c28,mem:c29,mem:c30,mem:c31,mem:c32,mem:c33,mem:c34,cur:obj587@view_00065,cur:obj588@view_00065,cur:obj589@view_00065,cur:obj590@view_00065,cur:obj591@view_00065,cur:obj592@view_00065,cur:obj593@view_00065,cur:obj594@view_00065,cur:obj595@view_00065
mem:c33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.350968,0.000000,0.000000,0.000000,0.000000,0.000000,0.642706,0.743323
mem:c34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.427407,0.000000,0.000000,0.000000,0.000000,0.000000,0.678299,0.558482
cur:obj587@view_00065,0.385939,0.487254,0.538698,0.000000,0.000000,0.371347,0.000000,0.000000,0.000000,0.000000,0.000000,0.353740,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj588@view_00065,0.442253,0.000000,0.536928,0.000000,0.000000,0.388809,0.351331,0.000000,0.351041,0.000000,0.000000,0.000000,0.000000,0.442009,0.620759,0.350968,0.427407,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj589@view_00065,0.388574,0.470248,0.000000,0.665231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj590@view_00065,0.458885,0.411385,0.604794,0.000000,0.000000,0.555037,0.412222,0.461745,0.426851,0.360049,0.000000,0.429172,0.391985,0.000000,0.512591,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj591@view_00065,0.000000,0.415780,0.388424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
cur:obj592@view_00065,0.482572,0.474478,0.486279,0.000000,0.000000,0.572906,0.423474,0.455865,0.454840,0.000000,0.000000,0.517376,0.382985,0.000000,0.667559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
cur:obj593@view_00065,0.459783,0.461338,0.470603,0.000000,0.000000,0.562999,0.397478,0.431547,0.439473,0.000000,0.000000,0.506845,0.000000,0.000000,0.622747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
cur:obj594@view_00065,0.406863,0.000000,0.402958,0.000000,0.000000,0.443209,0.000000,0.372382,0.000000,0.000000,0.351009,0.392124,0.000000,0.462801,0.360975,0.642706,0.678299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
cur:obj595@view_00065,0.351025,0.000000,0.461991,0.000000,0.000000,0.355947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421840,0.353479,0.743323,0.558482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
