id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c7,mem:c8,mem:c9,mem:c11,mem:c12,mem:c13,mem:c14,mem:c16,mem:c17,mem:c19,mem:c20,mem:c21,mem:c22,cur:obj518@view_00058,cur:obj519@view_00058,cur:obj520@view_00058,cur:obj521@view_00058,cur:obj522@view_00058,cur:obj523@view_00058,cur:obj524@view_00058,cur:obj525@view_00058,cur:obj526@view_00058,cur:obj527@view_00058,cur:obj528@view_00058,cur:obj529@view_00058,cur:obj530@view_00058,cur:obj531@view_00058,cur:obj532@view_00058
mem:c0,1.000000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c1,-0.050000,1.000000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c2,-0.050000,-0.050000,1.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c3,-0.000000,-0.000000,-0.000000,1.000000,-0.333333,-0.000000,-0.000000,-0.000000,-0.333333,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.333333,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c4,-0.000000,-0.000000,-0.000000,-0.333333,1.000000,-0.000000,-0.000000,-0.000000,-0.333333,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.333333,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c5,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.166667,-0.000000,-0.166667,-0.000000,-0.000000,-0.000000,-0.166667,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.166667,-0.000000,-0.166667,-0.000000,-0.166667
mem:c7,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,1.000000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c8,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,1.000000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c9,-0.000000,-0.000000,-0.000000,-0.333333,-0.333333,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.333333,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c11,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,1.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c12,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,1.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c13,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,1.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c14,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,1.000000,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c16,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,1.000000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c17,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,1.000000,-0.050000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c19,-0.050000,-0.050000,-0.050000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.050000,-0.050000,-0.000000,-0.050000,-0.050000,-0.050000,-0.050000,-0.050000,-0.000000,-0.050000,-0.000000,-0.050000,-0.000000
mem:c20,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c21,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.166667,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.166667,-0.000000,-0.000000,-0.000000,-0.166667,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.166667,-0.000000,-0.166667,-0.000000,-0.166667
mem:c22,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
